Test Name, K, Total time, Diversity, Min Diversity, Average Diversity, Max Diversity
scp41.txt,3,1290,0.0402,,,
scp41.txt,4,1123,0.0399,,,
scp41.txt,5,1128,0.0438,,,
scp41.txt,6,1074,0.0469,,,
scp41.txt,7,1190,0.0504,,,
scp41.txt,8,943,0.052,,,
scp41.txt,9,708,0.0525,,,
scp41.txt,10,875,0.0525,,,
scp41.txt,11,964,0.0515,,,
scp41.txt,12,663,0.0506,,,
scp41.txt,13,662,0.0499,,,
scp41.txt,14,874,0.0492,,,
scp41.txt,15,740,0.0486,,,
scp41.txt,16,780,0.0481,,,
scp41.txt,17,689,0.0482,,,
scp41.txt,18,692,0.0483,,,
scp41.txt,19,874,0.0493,,,
scp41.txt,20,766,0.0501,,,
scp42.txt,3,709,0.0358,,,
scp42.txt,4,725,0.0376,,,
scp42.txt,5,733,0.0373,,,
scp42.txt,6,740,0.0374,,,
scp42.txt,7,730,0.0371,,,
scp42.txt,8,729,0.0373,,,
scp42.txt,9,662,0.0371,,,
scp42.txt,10,675,0.0371,,,
scp42.txt,11,722,0.0391,,,
scp42.txt,12,732,0.0405,,,
scp42.txt,13,731,0.041,,,
scp42.txt,14,709,0.0414,,,
scp42.txt,15,760,0.0411,,,
scp42.txt,16,707,0.0409,,,
scp42.txt,17,962,0.0413,,,
scp42.txt,18,730,0.0416,,,
scp42.txt,19,773,0.0413,,,
scp42.txt,20,743,0.0411,,,
scp43.txt,3,779,0.0867,,,
scp43.txt,4,746,0.0754,,,
scp43.txt,5,727,0.0659,,,
scp43.txt,6,980,0.0554,,,
scp43.txt,7,665,0.0541,,,
scp43.txt,8,722,0.0533,,,
scp43.txt,9,672,0.0531,,,
scp43.txt,10,696,0.053,,,
scp43.txt,11,645,0.0525,,,
scp43.txt,12,977,0.052,,,
scp43.txt,13,1054,0.0516,,,
scp43.txt,14,1154,0.0513,,,
scp43.txt,15,668,0.0517,,,
scp43.txt,16,679,0.052,,,
scp43.txt,17,717,0.0517,,,
scp43.txt,18,796,0.0515,,,
scp43.txt,19,697,0.0512,,,
scp43.txt,20,790,0.051,,,
scp51.txt,3,1026,0.0552,,,
scp51.txt,4,962,0.0552,,,
scp51.txt,5,950,0.0461,,,
scp51.txt,6,1078,0.0457,,,
scp51.txt,7,937,0.0481,,,
scp51.txt,8,1006,0.0494,,,
scp51.txt,9,896,0.0486,,,
scp51.txt,10,898,0.048,,,
scp51.txt,11,902,0.0494,,,
scp51.txt,12,1018,0.0502,,,
scp51.txt,13,954,0.0513,,,
scp51.txt,14,1030,0.0519,,,
scp51.txt,15,1110,0.0513,,,
scp51.txt,16,969,0.0507,,,
scp51.txt,17,949,0.0503,,,
scp51.txt,18,1280,0.0498,,,
scp51.txt,19,1021,0.0505,,,
scp51.txt,20,975,0.0506,,,
scp52.txt,3,1373,0.0783,,,
scp52.txt,4,1397,0.0783,,,
scp52.txt,5,1096,0.0806,,,
scp52.txt,6,1805,0.0815,,,
scp52.txt,7,1120,0.0627,,,
scp52.txt,8,1541,0.0616,,,
scp52.txt,9,1075,0.0604,,,
scp52.txt,10,1139,0.0596,,,
scp52.txt,11,1580,0.0587,,,
scp52.txt,12,1324,0.0583,,,
scp52.txt,13,1009,0.0594,,,
scp52.txt,14,1280,0.0594,,,
scp52.txt,15,1025,0.059,,,
scp52.txt,16,1024,0.0584,,,
scp52.txt,17,1069,0.058,,,
scp52.txt,18,1053,0.0576,,,
scp52.txt,19,1022,0.0573,,,
scp52.txt,20,1098,0.0569,,,
scp53.txt,3,1005,0.0736,,,
scp53.txt,4,858,0.0738,,,
scp53.txt,5,855,0.0622,,,
scp53.txt,6,883,0.0618,,,
scp53.txt,7,1318,0.0623,,,
scp53.txt,8,1183,0.0629,,,
scp53.txt,9,1079,0.062,,,
scp53.txt,10,900,0.0616,,,
scp53.txt,11,1109,0.0609,,,
scp53.txt,12,920,0.0607,,,
scp53.txt,13,989,0.0611,,,
scp53.txt,14,933,0.0615,,,
scp53.txt,15,1041,0.0619,,,
scp53.txt,16,1020,0.0622,,,
scp53.txt,17,896,0.0618,,,
scp53.txt,18,998,0.0615,,,
scp53.txt,19,1039,0.0623,,,
scp53.txt,20,1017,0.063,,,
