0.1,0.078977728
0.2,0.074589232
0.3,0.070875891
0.4,0.067693027
0.5,0.064934544
0.6,0.062520872
0.7,0.060391161
0.8,0.058498085
0.9,0.05680428
1,0.055279855
2,0.045625167
3,0.040797822
4,0.037901416
5,0.035970478
6,0.034591237
7,0.033556806
8,0.032752249
9,0.032108603
10,0.031581983
0.1,0.053958997
0.2,0.051811927
0.3,0.049995176
0.4,0.048437961
0.5,0.047088375
0.6,0.045907487
0.7,0.044865527
0.8,0.04393934
0.9,0.043110647
1,0.042364822
2,0.03764127
3,0.035279494
4,0.033862428
5,0.032917718
6,0.032242924
7,0.031736829
8,0.0313432
9,0.031028297
10,0.030770648
0.1,0.084821255
0.2,0.080116443
0.3,0.076135447
0.4,0.072723165
0.5,0.069765855
0.6,0.067178208
0.7,0.06489499
0.8,0.062865463
0.9,0.06104957
1,0.059415267
2,0.049064679
3,0.043889385
4,0.040784208
5,0.038714091
6,0.037235435
7,0.036126444
8,0.035263895
9,0.034573856
10,0.034009278
0.1,0.078548759
0.2,0.074225252
0.3,0.070566899
0.4,0.067431168
0.5,0.064713535
0.6,0.062335605
0.7,0.060237432
0.8,0.05837239
0.9,0.056703668
1,0.055201818
2,0.045690101
3,0.040934242
4,0.038080727
5,0.036178384
6,0.034819567
7,0.033800454
8,0.033007811
9,0.032373697
10,0.031854876
0.1,0.099164298
0.2,0.093609371
0.3,0.088909048
0.4,0.0848802
0.5,0.081388532
0.6,0.078333322
0.7,0.075637549
0.8,0.073241306
0.9,0.071097299
1,0.069167693
2,0.056946854
3,0.050836434
4,0.047170183
5,0.044726015
6,0.042980181
7,0.041670805
8,0.040652402
9,0.039837679
10,0.039171088
0.1,0.10204497
0.2,0.096066476
0.3,0.091007749
0.4,0.086671698
0.5,0.082913786
0.6,0.079625614
0.7,0.076724286
0.8,0.074145327
0.9,0.071837838
1,0.069761098
2,0.056608408
3,0.050032064
4,0.046086257
5,0.043455719
6,0.041576764
7,0.040167547
8,0.03907149
9,0.038194644
10,0.037477224
